epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,118.286,3.57713,7.25137,0.0601,0.00156,0.04857,0.00033,6e-05,3.07074,7.55926,0.07306,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269
2,229.11,2.23613,4.46171,0.03613,0.35227,0.07646,0.04749,0.01834,1.96384,3.86965,0.04194,0.0198818,0.00662726,0.0198818,0.00662726,0.0198818,0.00662726,0.0198818,0.00662726
3,480.694,1.89179,3.51998,0.02809,0.29112,0.15902,0.10019,0.04202,1.90357,3.31178,0.04053,0.0296839,0.00989463,0.0296839,0.00989463,0.0296839,0.00989463,0.0296839,0.00989463
4,801.604,1.76515,3.13173,0.02602,0.29734,0.26289,0.19313,0.09382,1.75358,2.72456,0.03621,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,1150.41,1.6641,2.84491,0.02412,0.34616,0.30303,0.25485,0.13411,1.6136,2.45166,0.03285,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,1474.93,1.59227,2.65154,0.02244,0.39489,0.3511,0.31512,0.17086,1.5612,2.28092,0.0316,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,1832.1,1.54837,2.50958,0.02157,0.42175,0.3789,0.36401,0.2027,1.5514,2.16837,0.03126,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,2160.53,1.5046,2.41145,0.02096,0.46231,0.4098,0.41025,0.24069,1.46806,1.95091,0.02879,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,2525.72,1.46929,2.31414,0.02053,0.50518,0.43246,0.44498,0.26819,1.43909,1.88034,0.02804,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,2851.14,1.4449,2.25129,0.01989,0.52721,0.45957,0.46912,0.28541,1.41968,1.78128,0.02765,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,3214.53,1.42617,2.18386,0.01941,0.56111,0.47935,0.51078,0.31723,1.36413,1.65719,0.02597,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,3542.2,1.40169,2.12318,0.01896,0.58318,0.49522,0.53271,0.33181,1.34511,1.63478,0.02564,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,3905.6,1.38782,2.08228,0.01879,0.55551,0.50997,0.53494,0.33889,1.32929,1.60463,0.02509,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,4244.28,1.3686,2.03964,0.01849,0.59362,0.52633,0.5608,0.3551,1.31895,1.54662,0.02501,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,4596.3,1.35108,1.99868,0.01823,0.62902,0.52566,0.5842,0.37543,1.28402,1.48258,0.02409,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,4923.99,1.34241,1.96223,0.01801,0.62011,0.55631,0.60434,0.39684,1.26515,1.43288,0.02355,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,5278.12,1.32707,1.9383,0.01763,0.64637,0.56305,0.62009,0.40849,1.24811,1.40244,0.023,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,5616.05,1.32188,1.91953,0.01744,0.66507,0.57438,0.62641,0.41481,1.24333,1.39666,0.02308,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,5978.1,1.30845,1.89298,0.01728,0.66217,0.5749,0.63953,0.42921,1.2179,1.36467,0.02236,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,6311.83,1.29898,1.86654,0.01718,0.67284,0.58437,0.64899,0.44078,1.19914,1.33802,0.02185,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,6679.76,1.28941,1.82632,0.01706,0.69083,0.59342,0.66052,0.44813,1.19602,1.29858,0.02185,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,7021,1.28356,1.81388,0.01696,0.70478,0.59723,0.67095,0.45736,1.18187,1.27249,0.02152,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,7383.27,1.2706,1.79243,0.01679,0.71417,0.60427,0.68503,0.47066,1.17692,1.24289,0.02145,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,7744.95,1.2634,1.77285,0.01654,0.70318,0.61758,0.68913,0.47577,1.15277,1.24196,0.02069,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,8086.24,1.25967,1.76179,0.01638,0.69894,0.63483,0.70024,0.48259,1.16024,1.2056,0.02087,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,8451.04,1.25964,1.74299,0.01643,0.70505,0.63829,0.7004,0.48797,1.14969,1.18915,0.02056,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,8790.29,1.24418,1.72528,0.01625,0.72424,0.64643,0.71912,0.50227,1.13714,1.14957,0.02033,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,9158.57,1.23655,1.71295,0.01614,0.71955,0.64548,0.71912,0.50449,1.12984,1.15797,0.02018,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,9499.91,1.23597,1.68374,0.01608,0.74201,0.65589,0.73441,0.51674,1.11469,1.13267,0.01974,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,9854.85,1.22367,1.68021,0.01611,0.75448,0.6599,0.73739,0.522,1.10969,1.1145,0.01952,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,10176.4,1.2211,1.65321,0.01571,0.74334,0.6719,0.74366,0.52977,1.09481,1.10551,0.01921,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,10528.6,1.21243,1.64866,0.01561,0.73591,0.66568,0.74112,0.5271,1.09671,1.10131,0.01934,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,10861.3,1.21302,1.63214,0.0157,0.75533,0.66937,0.75125,0.53598,1.09674,1.08164,0.01925,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
