epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3718.13,1.2517,1.76853,0.01628,0.74402,0.65782,0.7381,0.52582,1.08493,1.09775,0.01906,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3809.01,1.25042,1.76054,0.01629,0.73965,0.66478,0.73981,0.53056,1.07919,1.08985,0.01889,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3900.19,1.2393,1.75063,0.01615,0.74695,0.65759,0.74145,0.53444,1.0734,1.08659,0.0187,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3991.33,1.23867,1.72817,0.01617,0.75787,0.66396,0.74976,0.54054,1.073,1.0626,0.01871,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,4082.21,1.2227,1.71224,0.01603,0.76859,0.6619,0.75157,0.54421,1.06068,1.05943,0.01837,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,4173.18,1.23281,1.71798,0.01591,0.75902,0.67726,0.75643,0.54801,1.05607,1.0506,0.0183,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,4278.95,1.21291,1.6921,0.0159,0.75583,0.68199,0.75888,0.55026,1.05347,1.0447,0.01824,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,4395.4,1.22259,1.68522,0.01572,0.76078,0.68124,0.76176,0.55455,1.04997,1.03638,0.01814,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,4512.36,1.21164,1.66154,0.01569,0.76668,0.68521,0.76466,0.5573,1.04556,1.02943,0.01804,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4627.01,1.20262,1.65589,0.01565,0.75251,0.70076,0.76713,0.55986,1.03918,1.02233,0.01792,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4744.4,1.1959,1.6433,0.01555,0.77995,0.6854,0.7714,0.56512,1.03439,1.0139,0.01773,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4857.69,1.19261,1.62076,0.01546,0.77715,0.69268,0.77362,0.56814,1.03072,1.01178,0.01766,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4971.43,1.19428,1.61514,0.01541,0.7738,0.69428,0.77379,0.56802,1.02933,1.00827,0.01759,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,5088.83,1.19164,1.62531,0.01538,0.77541,0.69929,0.77592,0.56991,1.02647,1.00078,0.01756,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,5202.94,1.18497,1.60264,0.01521,0.78405,0.70227,0.77939,0.57415,1.02275,1.00035,0.01748,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,5316.43,1.18209,1.58983,0.01527,0.7802,0.70107,0.77764,0.57466,1.02118,0.99488,0.01744,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,5430.72,1.1723,1.57196,0.01503,0.77631,0.71239,0.78074,0.57734,1.01871,0.98863,0.01737,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
