epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,66197.3,0.78142,0.66103,0.25559,0.62339,0.501,0.53478,0.36885,0.56298,0.6504,0.23287,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,68295,0.74849,0.66908,0.2443,0.62216,0.50358,0.53851,0.37182,0.56081,0.64937,0.2308,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,70376.4,0.75489,0.66576,0.24596,0.62925,0.50379,0.54097,0.37404,0.55975,0.64766,0.22977,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,72424.1,0.76744,0.65922,0.24853,0.62449,0.50819,0.54256,0.37548,0.55997,0.64474,0.22926,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,74474,0.75469,0.66491,0.24497,0.63409,0.50713,0.5444,0.37789,0.55668,0.64188,0.22766,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,76521.5,0.75014,0.66407,0.24229,0.63624,0.50731,0.54719,0.37877,0.55674,0.64073,0.22659,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,78571,0.71651,0.66936,0.23288,0.63237,0.51317,0.55029,0.38091,0.55397,0.63909,0.22633,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,80621.5,0.74299,0.66384,0.23932,0.63064,0.51955,0.55238,0.38299,0.55163,0.63745,0.22513,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,82670,0.75577,0.65718,0.2432,0.63872,0.51763,0.55539,0.38479,0.54974,0.63619,0.22283,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,84719.7,0.7396,0.65785,0.23905,0.63999,0.51869,0.5585,0.38673,0.54846,0.63388,0.22158,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,86767.3,0.7596,0.65384,0.24243,0.64064,0.52082,0.56002,0.38857,0.54573,0.63293,0.21957,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,88813.2,0.72034,0.66395,0.23213,0.63787,0.52423,0.56179,0.39168,0.54052,0.63124,0.21784,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,90862,0.73596,0.65843,0.23619,0.63809,0.52856,0.56419,0.39313,0.54094,0.62867,0.21758,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,92911.5,0.72421,0.66184,0.2339,0.64173,0.53114,0.56581,0.39665,0.53606,0.6271,0.21634,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,94960.4,0.73902,0.65583,0.23634,0.64578,0.53107,0.56742,0.39564,0.53684,0.62534,0.21589,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,97006.7,0.74411,0.65398,0.23898,0.6478,0.53037,0.56789,0.39594,0.53613,0.62305,0.21555,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,99054.7,0.73049,0.65809,0.2337,0.64967,0.52944,0.57,0.40044,0.53157,0.62275,0.21341,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,101105,0.73864,0.65585,0.23695,0.64547,0.53331,0.5723,0.40487,0.52541,0.62226,0.21137,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,103152,0.74265,0.65548,0.23807,0.65013,0.53516,0.5748,0.40806,0.52245,0.6213,0.21082,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,105202,0.75077,0.65113,0.23959,0.64344,0.53946,0.57557,0.40792,0.52376,0.62029,0.21059,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,107249,0.72019,0.65432,0.22917,0.64323,0.54254,0.57672,0.40873,0.52297,0.61931,0.21103,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,109296,0.73886,0.65261,0.23638,0.64432,0.54275,0.5778,0.40887,0.52315,0.61836,0.21063,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,111343,0.71648,0.65622,0.22943,0.65027,0.54282,0.58077,0.41125,0.52062,0.61818,0.20932,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,113393,0.74176,0.65049,0.23562,0.64772,0.54639,0.58091,0.41283,0.51959,0.61689,0.20875,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,115440,0.77049,0.64179,0.24427,0.65136,0.54709,0.58054,0.41243,0.52015,0.61623,0.20883,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,117488,0.71085,0.65663,0.22753,0.65346,0.55031,0.58283,0.41478,0.51798,0.6153,0.20804,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,119536,0.75113,0.64499,0.23708,0.65841,0.54774,0.58453,0.41556,0.51915,0.61383,0.20789,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,121582,0.73601,0.64953,0.23562,0.65884,0.54717,0.58516,0.41576,0.52062,0.61173,0.20825,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,123631,0.73401,0.64846,0.23255,0.65695,0.5488,0.58585,0.41688,0.51768,0.61268,0.20779,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,125677,0.72123,0.65124,0.23001,0.65721,0.54948,0.58735,0.41617,0.51696,0.61169,0.20855,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,127723,0.7089,0.65506,0.22665,0.65767,0.55075,0.58858,0.41587,0.51609,0.61249,0.20721,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,129771,0.73901,0.64566,0.23372,0.66013,0.54818,0.58733,0.41108,0.52124,0.61134,0.20747,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
