epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,108.367,3.55913,7.23037,0.0598,0.00153,0.06016,0.00048,0.0001,2.9934,7.53927,0.07054,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269
2,207.628,2.2538,4.464,0.03651,0.30905,0.08045,0.05325,0.02096,1.97251,3.84236,0.04255,0.0198818,0.00662726,0.0198818,0.00662726,0.0198818,0.00662726,0.0198818,0.00662726
3,302.393,1.86821,3.49675,0.02773,0.26083,0.16609,0.09268,0.03858,1.84207,3.32757,0.03861,0.0296839,0.00989463,0.0296839,0.00989463,0.0296839,0.00989463,0.0296839,0.00989463
4,395.007,1.74435,3.09221,0.02567,0.30464,0.25131,0.18603,0.09003,1.75185,2.7825,0.03662,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,489.66,1.64079,2.78766,0.02374,0.32877,0.32219,0.26406,0.13956,1.59941,2.42747,0.03252,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,582.308,1.57573,2.60463,0.02224,0.38005,0.34143,0.30672,0.16768,1.57716,2.25124,0.03174,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,676.734,1.5326,2.45471,0.02132,0.42791,0.3958,0.37627,0.21605,1.49006,2.08777,0.02928,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,770.225,1.48809,2.37534,0.02075,0.4826,0.43077,0.42918,0.25698,1.41449,1.89454,0.0275,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,864.338,1.44813,2.28019,0.02024,0.53457,0.45277,0.47279,0.28281,1.42472,1.80687,0.0277,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,958.916,1.42941,2.21385,0.01972,0.53575,0.46295,0.47332,0.29229,1.39126,1.75072,0.02681,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,1051.64,1.41139,2.14592,0.01919,0.57712,0.49211,0.52731,0.32993,1.34747,1.60807,0.02566,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,1145.6,1.39314,2.09561,0.01887,0.61541,0.50422,0.54551,0.34312,1.3191,1.59088,0.02485,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,1239.47,1.37533,2.0556,0.01865,0.59461,0.52376,0.55838,0.354,1.30586,1.54646,0.02474,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,1332.64,1.35741,2.00234,0.01838,0.63408,0.53774,0.58692,0.37692,1.2902,1.48778,0.02421,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,1426.14,1.3387,1.96571,0.01809,0.6205,0.56121,0.61015,0.39714,1.26838,1.43098,0.0238,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,1518.12,1.3311,1.94689,0.0179,0.64782,0.55442,0.61354,0.40603,1.25416,1.39455,0.02324,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,1611.89,1.31595,1.90392,0.01755,0.67947,0.56606,0.63421,0.42302,1.22857,1.36026,0.02265,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,1705.95,1.30761,1.88973,0.01732,0.6657,0.59432,0.64765,0.43343,1.22283,1.32618,0.02254,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,1798.36,1.29771,1.86073,0.01719,0.66675,0.58544,0.644,0.43404,1.20791,1.32455,0.02211,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,1892.01,1.28707,1.82757,0.01709,0.70584,0.60629,0.67384,0.45876,1.1875,1.26513,0.02168,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,1983.93,1.27839,1.80425,0.01698,0.69238,0.61933,0.67849,0.46439,1.17321,1.2615,0.02132,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,2076.82,1.27002,1.79165,0.0168,0.69338,0.62033,0.68175,0.46744,1.15963,1.24421,0.02088,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,2170.36,1.25872,1.75642,0.01666,0.72785,0.61079,0.69082,0.47787,1.1561,1.21274,0.02086,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,2263.48,1.25328,1.74378,0.01648,0.71572,0.62129,0.69971,0.4863,1.13876,1.19136,0.02051,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,2356.18,1.2464,1.73257,0.01629,0.73904,0.61462,0.70735,0.4951,1.13247,1.16981,0.02018,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,2449,1.24594,1.71582,0.01631,0.73037,0.6292,0.70829,0.49996,1.12365,1.15741,0.01999,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,2540.91,1.22684,1.69618,0.0161,0.73093,0.64972,0.72621,0.51263,1.11311,1.12003,0.01979,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,2634.17,1.2301,1.67553,0.01612,0.7381,0.64575,0.72913,0.51681,1.10755,1.117,0.01965,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,2726.26,1.22169,1.66433,0.01597,0.74446,0.65877,0.73516,0.52215,1.09678,1.11184,0.01943,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,2819.7,1.21155,1.66003,0.01602,0.72994,0.67022,0.73622,0.52646,1.08868,1.10385,0.01912,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,2911.93,1.21416,1.62095,0.01572,0.75602,0.65991,0.74771,0.53535,1.07534,1.08827,0.01881,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
