epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,848.556,2.88526,5.42073,0.02682,0.3573,0.05938,0.03822,0.01929,2.08977,3.8928,0.02187,0.0099973,0.00333243,0.0099973,0.00333243,0.0099973,0.00333243,0.0099973,0.00333243
2,1656.51,2.01252,3.47777,0.01506,0.30408,0.19794,0.1602,0.09601,1.78591,2.71388,0.01713,0.0199643,0.00665477,0.0199643,0.00665477,0.0199643,0.00665477,0.0199643,0.00665477
3,2408.71,1.91543,3.07354,0.01382,0.37,0.25353,0.22587,0.13998,1.68551,2.42299,0.01575,0.0298983,0.0099661,0.0298983,0.0099661,0.0298983,0.0099661,0.0298983,0.0099661
4,3162.51,1.84832,2.88632,0.01303,0.43894,0.30541,0.29321,0.19049,1.5835,2.18148,0.01415,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505
5,3916.57,1.77882,2.70667,0.0122,0.46952,0.33355,0.33698,0.22509,1.52036,2.03861,0.01328,0.029802,0.009934,0.029802,0.009934,0.029802,0.009934,0.029802,0.009934
6,4667.95,1.73831,2.60431,0.01173,0.50108,0.35138,0.36551,0.24724,1.48374,1.9641,0.01275,0.0297525,0.0099175,0.0297525,0.0099175,0.0297525,0.0099175,0.0297525,0.0099175
7,5354.83,1.70944,2.54059,0.01142,0.51848,0.36816,0.38518,0.26276,1.46275,1.90302,0.01245,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
8,5985.46,1.69251,2.48696,0.01122,0.53892,0.37328,0.39821,0.27282,1.44695,1.87051,0.01221,0.0296535,0.0098845,0.0296535,0.0098845,0.0296535,0.0098845,0.0296535,0.0098845
9,6613.69,1.67802,2.44989,0.01105,0.54533,0.38326,0.40628,0.27928,1.43635,1.84984,0.01206,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
10,7242.16,1.66101,2.4209,0.01095,0.53723,0.39503,0.41192,0.28392,1.42773,1.8333,0.01196,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
11,7867.8,1.65422,2.39307,0.01085,0.54466,0.39643,0.41676,0.28821,1.41951,1.81969,0.01186,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
