epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,794.087,2.8524,5.37382,0.02633,0.34532,0.06134,0.04352,0.02237,2.04811,3.89417,0.02128,0.0099973,0.00333243,0.0099973,0.00333243,0.0099973,0.00333243,0.0099973,0.00333243
2,1546.49,1.96918,3.37206,0.0145,0.31763,0.20045,0.16412,0.098,1.78493,2.70442,0.01712,0.0199643,0.00665477,0.0199643,0.00665477,0.0199643,0.00665477,0.0199643,0.00665477
3,2260.43,1.86543,2.95915,0.01315,0.33673,0.26128,0.22656,0.14191,1.67009,2.44276,0.01548,0.0298983,0.0099661,0.0298983,0.0099661,0.0298983,0.0099661,0.0298983,0.0099661
4,2973.44,1.7959,2.76445,0.01235,0.44746,0.30705,0.29824,0.19442,1.58159,2.17779,0.01411,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505
5,3686.69,1.72152,2.57381,0.0115,0.48266,0.3408,0.34176,0.22738,1.52164,2.04183,0.01322,0.029802,0.009934,0.029802,0.009934,0.029802,0.009934,0.029802,0.009934
6,4398.43,1.6806,2.47238,0.01102,0.49455,0.35828,0.36723,0.24836,1.48717,1.96443,0.01272,0.0297525,0.0099175,0.0297525,0.0099175,0.0297525,0.0099175,0.0297525,0.0099175
7,5110.66,1.65172,2.3988,0.01072,0.51628,0.36847,0.38486,0.26308,1.46143,1.90929,0.01237,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
8,5823.32,1.62981,2.34267,0.01047,0.51808,0.38386,0.39699,0.27277,1.44573,1.87706,0.01217,0.0296535,0.0098845,0.0296535,0.0098845,0.0296535,0.0098845,0.0296535,0.0098845
9,6537.45,1.6194,2.30507,0.01033,0.52637,0.39146,0.40395,0.27883,1.43411,1.85763,0.012,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
10,7250.92,1.60032,2.27141,0.01022,0.52857,0.39246,0.40957,0.28364,1.42571,1.83918,0.01188,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
11,7964.48,1.59365,2.24485,0.01011,0.53604,0.39313,0.41379,0.28708,1.4179,1.82565,0.01176,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
12,8677.08,1.58507,2.22493,0.01001,0.54316,0.39534,0.41923,0.29152,1.41232,1.81313,0.01169,0.0294555,0.0098185,0.0294555,0.0098185,0.0294555,0.0098185,0.0294555,0.0098185
13,9389.74,1.5805,2.2075,0.00994,0.54717,0.39988,0.42336,0.29477,1.40676,1.80166,0.01162,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
14,10105.7,1.57488,2.19404,0.00987,0.55133,0.40306,0.42752,0.2982,1.40194,1.78912,0.01155,0.0293565,0.0097855,0.0293565,0.0097855,0.0293565,0.0097855,0.0293565,0.0097855
15,10819.6,1.57063,2.17941,0.00983,0.55627,0.4069,0.43211,0.30173,1.39758,1.7789,0.01151,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
16,11531.7,1.56414,2.167,0.00978,0.56014,0.41032,0.43545,0.30525,1.39228,1.77001,0.01145,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
17,12246,1.56052,2.15336,0.00971,0.56003,0.4146,0.43989,0.30854,1.38752,1.76191,0.01139,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
18,12960.2,1.55768,2.14498,0.00971,0.56935,0.41841,0.4453,0.31298,1.38209,1.75469,0.01132,0.0291585,0.0097195,0.0291585,0.0097195,0.0291585,0.0097195,0.0291585,0.0097195
19,13675,1.55428,2.13604,0.00967,0.57378,0.42151,0.45005,0.31675,1.37926,1.74311,0.01131,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
20,14388.8,1.55396,2.12912,0.00964,0.57627,0.42523,0.45421,0.31977,1.37552,1.73326,0.01125,0.0290595,0.0096865,0.0290595,0.0096865,0.0290595,0.0096865,0.0290595,0.0096865
21,15102.8,1.55014,2.12484,0.00961,0.5898,0.42287,0.45818,0.32351,1.37031,1.72376,0.01119,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
22,15816.2,1.5483,2.11568,0.00958,0.595,0.42464,0.46169,0.32658,1.36478,1.71424,0.01111,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
23,16531.3,1.54879,2.11044,0.00956,0.59393,0.42731,0.46512,0.32934,1.36073,1.70453,0.01105,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
24,17246.4,1.54265,2.10371,0.00954,0.59267,0.43212,0.46811,0.3321,1.35609,1.69415,0.01097,0.0288615,0.0096205,0.0288615,0.0096205,0.0288615,0.0096205,0.0288615,0.0096205
25,17960,1.54295,2.09772,0.00953,0.59559,0.43609,0.47234,0.33535,1.35166,1.6865,0.01091,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
26,18674,1.54364,2.0976,0.00954,0.59656,0.43761,0.47515,0.33836,1.34675,1.67763,0.01084,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875
27,19387.4,1.53612,2.08709,0.00947,0.59787,0.44035,0.47797,0.34059,1.34275,1.66878,0.01079,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
28,20101.1,1.53769,2.08493,0.00949,0.60269,0.44152,0.48056,0.34272,1.33835,1.66225,0.01073,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
29,20813.6,1.53666,2.07824,0.00947,0.60624,0.44438,0.48371,0.34533,1.33547,1.65402,0.01068,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
30,21527.4,1.53262,2.07644,0.00946,0.61267,0.44616,0.48641,0.34725,1.33293,1.64527,0.01064,0.0285645,0.0095215,0.0285645,0.0095215,0.0285645,0.0095215,0.0285645,0.0095215
31,22241.9,1.53385,2.07265,0.00944,0.61617,0.44631,0.48887,0.34934,1.32979,1.63767,0.01061,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
32,22953.3,1.53062,2.06731,0.00944,0.61637,0.44984,0.49125,0.35138,1.32837,1.63014,0.01059,0.0284655,0.0094885,0.0284655,0.0094885,0.0284655,0.0094885,0.0284655,0.0094885
33,23665.7,1.52808,2.06119,0.00943,0.61819,0.4516,0.4936,0.35309,1.32806,1.62188,0.01058,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
34,24377.8,1.53074,2.06394,0.00941,0.62029,0.45447,0.49586,0.35455,1.32723,1.61384,0.01058,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
35,25089,1.529,2.05728,0.0094,0.62123,0.45524,0.49719,0.35596,1.32501,1.60945,0.01055,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
36,25800.4,1.52932,2.05703,0.00938,0.62196,0.45979,0.49953,0.35781,1.32307,1.60441,0.01053,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225
37,26511,1.52633,2.04984,0.00936,0.61897,0.46208,0.5017,0.35938,1.32159,1.59801,0.0105,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
38,27222.3,1.52384,2.04785,0.00933,0.62556,0.46206,0.50385,0.3611,1.31924,1.59367,0.01047,0.0281685,0.0093895,0.0281685,0.0093895,0.0281685,0.0093895,0.0281685,0.0093895
39,27934.5,1.52306,2.04358,0.00934,0.62599,0.46254,0.50529,0.36254,1.31875,1.58734,0.01046,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
40,28646.7,1.52207,2.04227,0.00933,0.63288,0.46133,0.50707,0.36389,1.31731,1.58286,0.01043,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
