epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,478.684,1.42714,4.49937,1.61682,0.00076,0.06453,0.00027,5e-05,1.24646,0.90651,1.67043,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269
2,1001.47,1.01901,1.04676,0.92479,0.12342,0.06898,0.00702,0.00237,0.84577,1.31867,0.91647,0.0198488,0.00661627,0.0198488,0.00661627,0.0198488,0.00661627,0.0198488,0.00661627
3,1507.88,0.74938,1.35687,0.61031,0.22484,0.09634,0.0306,0.01425,0.61908,1.5436,0.58993,0.0295849,0.00986165,0.0295849,0.00986165,0.0295849,0.00986165,0.0295849,0.00986165
4,2066.34,0.61805,1.40327,0.47991,0.19257,0.17773,0.08138,0.044,0.5369,1.46637,0.50515,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,2489.28,0.56582,1.3271,0.43219,0.24386,0.25931,0.16365,0.09603,0.48469,1.32867,0.45959,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,2945.75,0.53395,1.25564,0.39996,0.2989,0.31324,0.23606,0.14737,0.45542,1.21484,0.43696,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,3371.34,0.52218,1.18761,0.3861,0.37221,0.35071,0.30716,0.1935,0.4397,1.13969,0.43081,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,3791.67,0.50317,1.14998,0.3776,0.42568,0.3821,0.35696,0.22532,0.43759,1.06882,0.43212,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,4209.01,0.48587,1.12271,0.36684,0.464,0.42592,0.41208,0.26931,0.41911,1.01061,0.41525,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,4621.71,0.48598,1.08259,0.36517,0.47793,0.43712,0.43024,0.28659,0.40282,0.99948,0.39314,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,5044.2,0.48185,1.04651,0.35761,0.51882,0.46915,0.46878,0.31168,nan,nan,nan,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,5451.26,0.47101,1.03151,0.34985,0.55827,0.48863,0.50958,0.34081,nan,nan,nan,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,5882.13,0.46791,1.0132,0.34804,0.54915,0.5062,0.51531,0.35279,0.39504,0.88686,0.38528,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,6285.49,0.45591,0.99899,0.3399,0.56989,0.51703,0.53927,0.36994,0.38645,0.87393,0.38074,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,6666.86,0.45625,0.98422,0.34109,0.58924,0.51121,0.54866,0.37543,0.3879,0.8538,0.38163,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,7004.35,0.45379,0.96968,0.33887,0.61418,0.5347,0.57869,0.39576,0.38559,0.82461,0.38035,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,7378.55,0.44602,0.96076,0.33042,0.63251,0.56231,0.60682,0.41876,0.38003,0.80163,0.3814,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,7734.01,0.44592,0.94886,0.33077,0.63023,0.56984,0.61266,0.42929,0.36779,0.8159,0.36435,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
