epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1563.56,2.81175,5.27857,0.02578,0.30093,0.06987,0.04948,0.02551,2.04617,3.78942,0.02131,0.0099973,0.00333243,0.0099973,0.00333243,0.0099973,0.00333243,0.0099973,0.00333243
2,3014.02,1.89395,3.14583,0.01372,0.33076,0.22462,0.18686,0.11391,1.74813,2.58764,0.01672,0.0199313,0.00664377,0.0199313,0.00664377,0.0199313,0.00664377,0.0199313,0.00664377
3,4256,1.77736,2.7054,0.0123,0.37747,0.28015,0.25451,0.16004,1.64213,2.32037,0.0152,0.0297993,0.0099331,0.0297993,0.0099331,0.0297993,0.0099331,0.0297993,0.0099331
4,5485.2,1.70254,2.50856,0.01148,0.47513,0.32669,0.32604,0.21388,1.54837,2.08313,0.01378,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,6698.99,1.6279,2.3223,0.01063,0.51036,0.35477,0.36818,0.24714,1.48718,1.94626,0.01286,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,7884.87,1.58441,2.22109,0.01015,0.53225,0.37739,0.39368,0.26833,1.4503,1.86518,0.01231,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,8654.3,1.555,2.14881,0.00984,0.53363,0.39318,0.41105,0.28293,1.4286,1.81817,0.01201,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,9618.03,1.53576,2.09908,0.00963,0.54246,0.39995,0.42107,0.29107,1.41473,1.78929,0.01182,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,10685.1,1.52366,2.05818,0.00948,0.5622,0.40189,0.42946,0.29748,1.40358,1.76786,0.01168,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,12002.8,1.50412,2.03102,0.00936,0.56797,0.40633,0.43605,0.30298,1.39446,1.75099,0.01155,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,770.694,1.51626,2.04801,0.00944,0.57548,0.40794,0.43947,0.30566,1.39052,1.74397,0.01148,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1692.76,1.50747,2.02947,0.00937,0.5764,0.41111,0.44259,0.30829,1.38492,1.73594,0.0114,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,2433.1,1.50145,2.0048,0.00924,0.57568,0.41506,0.44605,0.31157,1.3789,1.72606,0.01132,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,3141.84,1.48979,1.98371,0.00915,0.57868,0.41751,0.44992,0.31478,1.37436,1.71468,0.01127,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
