epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,60311.8,0.72442,0.64032,0.22629,0.6178,0.51507,0.54797,0.38283,0.54372,0.64264,0.22699,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,62242.6,0.73327,0.63892,0.23024,0.61893,0.51824,0.55123,0.38514,0.54262,0.64037,0.2261,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,64171.9,0.73416,0.63732,0.22878,0.62151,0.52175,0.55448,0.38716,0.54257,0.63801,0.22596,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,66100.8,0.72212,0.6403,0.22584,0.62542,0.5265,0.5567,0.38802,0.54083,0.63681,0.22471,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,68031.5,0.739,0.63578,0.23098,0.63091,0.52816,0.55908,0.38595,0.54572,0.63469,0.2253,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,69948.1,0.69983,0.63854,0.21781,0.64118,0.52886,0.5641,0.39028,0.54207,0.63365,0.22401,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,71818.8,0.71981,0.63495,0.22387,0.64542,0.52818,0.56625,0.38985,0.54615,0.63082,0.2239,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,73687.5,0.72787,0.63394,0.22526,0.64805,0.52985,0.56836,0.39035,0.5472,0.62875,0.22327,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,75556.2,0.71938,0.6333,0.22425,0.64913,0.53336,0.57115,0.39759,0.53561,0.62725,0.21969,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,77425.4,0.71624,0.63284,0.22248,0.65285,0.53622,0.5734,0.4012,0.53192,0.62537,0.21824,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,79294.4,0.72797,0.62718,0.22375,0.6512,0.53902,0.57562,0.40525,0.52623,0.62396,0.21682,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,81163.5,0.72247,0.63135,0.2245,0.64499,0.54629,0.57749,0.40734,0.52255,0.62341,0.2153,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,83033.7,0.7222,0.62981,0.22329,0.64817,0.54458,0.57981,0.4097,0.52078,0.62239,0.21434,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,84902.4,0.70806,0.63155,0.21999,0.65273,0.54534,0.58182,0.41206,0.5186,0.6214,0.21343,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,86772,0.7336,0.62491,0.22489,0.65333,0.54617,0.58259,0.41343,0.51829,0.61988,0.21308,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,88640.6,0.70001,0.63369,0.21632,0.65395,0.55089,0.58513,0.41504,0.51708,0.61829,0.21252,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,90506.2,0.709,0.63004,0.21819,0.65489,0.55223,0.58625,0.41721,0.51426,0.61792,0.21103,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,92370.8,0.71097,0.62646,0.22021,0.65654,0.55409,0.58777,0.41824,0.51281,0.6167,0.21166,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,94237.2,0.70861,0.6285,0.21688,0.6611,0.5534,0.58929,0.4184,0.51785,0.61697,0.21148,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,96103.1,0.69337,0.6303,0.21349,0.66363,0.55383,0.59101,0.41885,0.52356,0.61557,0.21207,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,97972.2,0.71881,0.62318,0.2185,0.66646,0.55519,0.5927,0.42167,0.52169,0.61307,0.21145,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,99843,0.68682,0.6322,0.21188,0.66359,0.55819,0.59456,0.42452,0.5159,0.6107,0.21021,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,101712,0.71016,0.62585,0.21739,0.65948,0.56251,0.59516,0.42511,0.5133,0.61081,0.2091,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,103581,0.6856,0.6272,0.2106,0.66252,0.56037,0.59704,0.42726,0.51007,0.61055,0.20794,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,105450,0.71312,0.62299,0.21653,0.66457,0.56013,0.59716,0.4275,0.50902,0.6095,0.2074,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,107317,0.6978,0.62486,0.21343,0.66367,0.56121,0.59907,0.42874,0.50707,0.60908,0.2067,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,109184,0.71934,0.61666,0.21875,0.66522,0.56335,0.60023,0.42907,0.50478,0.61026,0.20622,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,111052,0.69754,0.62596,0.21359,0.66524,0.5658,0.60126,0.4295,0.50533,0.61039,0.20625,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,112920,0.70417,0.62566,0.2148,0.6693,0.56395,0.60225,0.43046,0.50568,0.60945,0.20586,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,114787,0.69508,0.62213,0.21305,0.66974,0.56523,0.603,0.43077,0.50464,0.60716,0.20546,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,116656,0.67517,0.62751,0.20817,0.67565,0.56553,0.60548,0.43252,0.50299,0.60734,0.20474,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,118524,0.70277,0.61972,0.21333,0.67212,0.56764,0.60701,0.43303,0.50429,0.60426,0.20519,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,120391,0.73719,0.60717,0.22579,0.67627,0.56776,0.60845,0.43348,0.50493,0.60305,0.20577,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,122256,0.69763,0.62134,0.21318,0.6764,0.56926,0.60975,0.43491,0.50697,0.602,0.20635,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,124120,0.71513,0.61611,0.21713,0.67769,0.56787,0.6114,0.43636,0.50579,0.60247,0.20598,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,125988,0.68354,0.62311,0.20855,0.67726,0.57038,0.61257,0.4386,0.49908,0.60176,0.20445,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,127854,0.66989,0.62257,0.20593,0.6841,0.56833,0.61427,0.4414,0.49635,0.60144,0.20372,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,129721,0.71479,0.61497,0.2173,0.68412,0.56763,0.61432,0.44045,0.49829,0.59991,0.20413,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,131590,0.68138,0.62336,0.20757,0.68413,0.56839,0.61515,0.44074,0.49718,0.59948,0.20343,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,133458,0.68986,0.61832,0.21089,0.68726,0.5673,0.61584,0.44026,0.49908,0.59831,0.20316,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,135325,0.71245,0.61352,0.21487,0.677,0.57528,0.61649,0.44123,0.49949,0.59854,0.20259,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,137187,0.69517,0.61624,0.2124,0.67572,0.57422,0.61672,0.44186,0.50355,0.59844,0.20239,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,139054,0.69174,0.61681,0.21037,0.68183,0.57127,0.61749,0.44148,0.50651,0.59807,0.20363,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,140920,0.71361,0.61343,0.21641,0.67109,0.57974,0.61745,0.43945,0.51005,0.59908,0.2044,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,142787,0.6699,0.62106,0.2045,0.67252,0.57922,0.61766,0.43793,0.51075,0.59618,0.20474,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,144654,0.71783,0.61044,0.21686,0.67276,0.57824,0.61763,0.43836,0.51023,0.59457,0.20406,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,146518,0.69513,0.6147,0.20979,0.68025,0.57606,0.61758,0.43487,0.51563,0.59343,0.20497,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,148386,0.69296,0.61305,0.20932,0.67758,0.57863,0.61678,0.4315,0.51964,0.59243,0.20515,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,1881.69,0.67284,0.60364,0.20215,0.68432,0.57858,0.62049,0.43747,0.51231,0.59164,0.2026,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,1873.07,0.68055,0.60077,0.20354,0.69178,0.57526,0.62125,0.43507,0.5165,0.58945,0.20241,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,3748.99,0.66064,0.61792,0.20101,0.69163,0.57533,0.62149,0.43446,0.5171,0.58838,0.20193,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,5627.21,0.69567,0.6085,0.20968,0.69096,0.57601,0.62297,0.4388,0.51082,0.58907,0.20047,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,7499.99,0.67407,0.61655,0.20506,0.69481,0.57591,0.62601,0.44674,0.49861,0.59015,0.19798,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,9370.7,0.65427,0.6187,0.20025,0.69738,0.57451,0.62694,0.44606,0.49844,0.59012,0.19812,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,11237.5,0.67659,0.61586,0.20564,0.69688,0.57578,0.62627,0.44574,0.49806,0.59022,0.19836,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,13102.7,0.68229,0.61641,0.20748,0.69534,0.57553,0.62557,0.44623,0.49861,0.58888,0.19851,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,14964.9,0.68929,0.61184,0.2097,0.69439,0.57707,0.62523,0.4437,0.5039,0.58873,0.19902,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,16829.9,0.6609,0.61598,0.20016,0.69042,0.57923,0.62575,0.44469,0.50362,0.5888,0.19862,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,18694.7,0.67229,0.61272,0.20338,0.69834,0.57398,0.62603,0.4448,0.5057,0.59059,0.19874,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,20560.7,0.68632,0.60798,0.20752,0.69769,0.57454,0.62592,0.44539,0.50467,0.59055,0.19892,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,22426.4,0.67092,0.61089,0.2041,0.69566,0.5802,0.62898,0.45161,0.49618,0.59057,0.19747,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,24292.8,0.66424,0.61564,0.20295,0.687,0.58556,0.62902,0.45392,0.49055,0.59021,0.19714,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,26158.3,0.66893,0.61191,0.20249,0.68578,0.58297,0.62855,0.4541,0.49036,0.58964,0.19711,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,28025.5,0.67321,0.61167,0.20263,0.6938,0.58307,0.62891,0.45525,0.49184,0.59021,0.19674,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,29893,0.66429,0.61127,0.20285,0.68594,0.58793,0.62929,0.45538,0.49199,0.58902,0.1972,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,31760,0.66473,0.61253,0.20055,0.68436,0.5862,0.62802,0.44888,0.5004,0.58895,0.19799,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,33626.1,0.67271,0.60986,0.20408,0.69048,0.58385,0.62871,0.45013,0.49874,0.58797,0.19774,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,35490.5,0.64791,0.61638,0.19926,0.69283,0.58599,0.63117,0.4536,0.49338,0.58788,0.19649,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,37355.7,0.68167,0.60851,0.2061,0.69906,0.58405,0.63246,0.45219,0.49666,0.58786,0.19668,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,39219.9,0.64116,0.61451,0.19569,0.69522,0.58823,0.63429,0.45491,0.49069,0.58868,0.19605,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,41085.8,0.66446,0.61135,0.20106,0.69273,0.58982,0.63555,0.45674,0.48948,0.58772,0.19648,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,42951.9,0.68241,0.60682,0.20564,0.69623,0.58833,0.63568,0.45704,0.48829,0.58806,0.19633,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,44818.9,0.65091,0.61382,0.19693,0.69604,0.58877,0.63557,0.45726,0.48746,0.58725,0.19651,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,46686.6,0.65469,0.61038,0.19782,0.6929,0.59341,0.63642,0.45844,0.48506,0.58818,0.19618,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,48552.6,0.64166,0.61121,0.19519,0.69062,0.59514,0.63691,0.45723,0.48641,0.5868,0.19564,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,50419.8,0.68223,0.60365,0.20531,0.69261,0.5914,0.63562,0.45134,0.49506,0.58614,0.19688,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,52286,0.64172,0.61045,0.19445,0.6956,0.58942,0.63774,0.45659,0.48568,0.58683,0.19488,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,54151.4,0.66471,0.60259,0.20022,0.70118,0.58916,0.63938,0.46027,0.48131,0.58597,0.19452,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,56017,0.65023,0.60644,0.19748,0.69721,0.59305,0.64156,0.46402,0.47546,0.58665,0.19416,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,57887.6,0.6422,0.60935,0.19362,0.69973,0.59346,0.64232,0.46574,0.4723,0.587,0.19385,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,59760,0.66914,0.6035,0.20115,0.6961,0.59633,0.64158,0.46475,0.47295,0.58662,0.19391,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,61630.1,0.65288,0.60886,0.19754,0.69657,0.59627,0.64243,0.46551,0.47288,0.58668,0.19356,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,63501.4,0.63901,0.60955,0.19312,0.69832,0.59712,0.64443,0.46584,0.47366,0.58676,0.19374,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,65376,0.68768,0.59889,0.20582,0.69555,0.59865,0.64346,0.46531,0.47409,0.58587,0.19318,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,67247.5,0.69079,0.59983,0.20773,0.69631,0.59922,0.64247,0.46571,0.47287,0.58589,0.1934,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,69119.4,0.6612,0.60618,0.19809,0.69782,0.59718,0.64246,0.4654,0.47272,0.58635,0.19278,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
