epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,319.662,3.59067,7.26201,0.06038,0.00139,0.07448,0.00041,9e-05,2.91325,7.34234,0.06962,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269
2,640.88,2.31982,4.55302,0.03792,0.40778,0.06121,0.04772,0.01807,1.9727,3.84547,0.04276,0.0198818,0.00662726,0.0198818,0.00662726,0.0198818,0.00662726,0.0198818,0.00662726
3,932.109,1.90508,3.59184,0.02841,0.24947,0.16952,0.09153,0.03696,1.92785,3.41422,0.04133,0.0296839,0.00989463,0.0296839,0.00989463,0.0296839,0.00989463,0.0296839,0.00989463
4,1249.77,1.77752,3.24012,0.02628,0.28126,0.26107,0.19068,0.09388,1.74002,2.73754,0.03616,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,1559.86,1.68202,2.94911,0.02445,0.33319,0.29914,0.25308,0.13018,1.63248,2.46999,0.0332,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,1839.98,1.62659,2.75921,0.02309,0.35588,0.33418,0.28789,0.15815,1.55032,2.35242,0.03121,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,2147.26,1.57937,2.62046,0.02219,0.42507,0.37768,0.36057,0.20485,1.51185,2.12775,0.02993,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,2461.06,1.53768,2.54872,0.02155,0.45299,0.42209,0.40204,0.23478,1.45463,1.98584,0.02835,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,2735.39,1.50089,2.44603,0.0211,0.48994,0.41805,0.42331,0.25299,1.43505,1.91992,0.02802,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,3023.84,1.47763,2.36645,0.02052,0.52271,0.46808,0.47688,0.28901,1.41294,1.73529,0.02753,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,3325.26,1.4623,2.31626,0.02,0.51336,0.47966,0.48983,0.3036,1.38023,1.69849,0.02643,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,3625.95,1.44786,2.26001,0.01974,0.55463,0.49401,0.50993,0.32068,1.3345,1.68374,0.02518,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,3903.65,1.42989,2.21839,0.01954,0.57235,0.51396,0.53908,0.34051,1.32335,1.59692,0.02498,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,4201.03,1.41319,2.18017,0.01923,0.61487,0.51076,0.55498,0.35323,1.31316,1.54508,0.02483,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,4514.61,1.38904,2.1392,0.01891,0.60883,0.53724,0.57396,0.36952,1.29057,1.52127,0.02424,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,4800.57,1.384,2.11714,0.01876,0.63178,0.53223,0.59485,0.39289,1.26353,1.46805,0.02349,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,5083.57,1.37126,2.08404,0.01843,0.65185,0.5571,0.6164,0.40887,1.23977,1.41371,0.02285,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,5398.52,1.37141,2.0491,0.01829,0.66535,0.55532,0.61608,0.41062,1.2388,1.39396,0.02292,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
