epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1527.81,1.41772,4.5363,1.60743,0.0009,0.07616,0.00052,0.00015,1.2641,0.89853,1.69983,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269
2,3042.48,0.99004,1.07992,0.89117,0.12433,0.08742,0.01139,0.00439,0.76547,1.44231,0.78663,0.0198818,0.00662726,0.0198818,0.00662726,0.0198818,0.00662726,0.0198818,0.00662726
3,4547.95,0.6891,1.38047,0.54483,0.14085,0.12474,0.04263,0.02082,0.58149,1.50592,0.562,0.0296839,0.00989463,0.0296839,0.00989463,0.0296839,0.00989463,0.0296839,0.00989463
4,6058.89,0.5606,1.36476,0.4227,0.18783,0.23651,0.12189,0.07111,0.47996,1.42237,0.45837,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,7586.21,0.50779,1.26707,0.37916,0.26496,0.29561,0.20287,0.1238,0.46581,1.25773,0.44858,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,9111.96,0.48416,1.1715,0.35683,0.36046,0.32951,0.28661,0.1776,0.44374,1.16595,0.43253,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,10658.8,0.47257,1.09096,0.34706,0.46129,0.40373,0.39407,0.25594,0.41834,1.05523,0.41032,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,12228.4,0.45776,1.05236,0.3416,0.45994,0.42604,0.40919,0.26418,0.4149,1.02356,0.4127,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,13808,0.44141,1.02097,0.33086,0.52143,0.46378,0.4679,0.31064,0.41077,0.94619,0.40586,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,15403.9,0.44009,0.98656,0.32924,0.53089,0.47403,0.48651,0.3283,0.39603,0.93672,0.38849,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,16991.8,0.43862,0.94893,0.32326,0.55673,0.48682,0.51347,0.34832,0.39668,0.89605,0.39334,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,18635.1,0.4272,0.93534,0.31741,0.5998,0.50828,0.55036,0.37531,0.38669,0.86001,0.38597,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,20294,0.42329,0.92168,0.31404,0.609,0.51848,0.56457,0.38522,0.38313,0.84877,0.38399,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,21957.5,0.41696,0.9053,0.31074,0.61329,0.54341,0.5866,0.40483,0.38243,0.81592,0.38403,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,23631,0.41459,0.89406,0.30943,0.60704,0.55922,0.60372,0.41688,0.37488,0.81882,0.37485,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,25308.1,0.41416,0.87606,0.30762,0.61586,0.5854,0.61386,0.42484,0.37227,0.80054,0.36818,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,26985.8,0.40558,0.87077,0.29916,0.63706,0.58533,0.63145,0.43939,0.37103,0.77861,0.3753,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,28659,0.40717,0.85892,0.30044,0.66003,0.57616,0.6364,0.44655,0.36548,0.77328,0.36761,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,30339.4,0.4041,0.84492,0.29911,0.65903,0.60784,0.65524,0.45889,0.36471,0.7575,0.36985,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,32027,0.39984,0.83473,0.29516,0.67629,0.61891,0.66984,0.4757,0.36118,0.74739,0.36067,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,33723,0.39712,0.82782,0.29576,0.70733,0.60868,0.68261,0.48342,0.35757,0.72587,0.35732,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,35082.8,0.3931,0.82,0.2926,0.69089,0.6293,0.68935,0.4938,0.35224,0.71731,0.35239,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
