epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,13805.3,0.39095,0.81204,0.287,0.73661,0.6786,0.74439,0.54545,0.33876,0.65862,0.34201,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,14217.7,0.39076,0.81045,0.28768,0.73221,0.68844,0.75088,0.55048,0.33555,0.65617,0.34155,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,14589,0.38977,0.80024,0.28727,0.74593,0.67398,0.75049,0.55256,0.33279,0.65469,0.34003,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,14925.9,0.38396,0.80312,0.28278,0.75259,0.67982,0.75497,0.55683,0.33506,0.64134,0.33986,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,15262.3,0.38095,0.80065,0.28266,0.74304,0.68931,0.75854,0.5601,0.33169,0.63886,0.33716,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,15628.5,0.38495,0.79506,0.27938,0.75048,0.69497,0.76251,0.5655,0.33205,0.63289,0.3342,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,15982.4,0.3823,0.79049,0.28699,0.7519,0.69904,0.7696,0.57007,0.32987,0.62997,0.33197,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,358.61,0.37658,0.77764,0.277,0.7611,0.70128,0.77139,0.57478,0.32645,0.62476,0.33024,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,744.469,0.37866,0.78414,0.28254,0.7634,0.7016,0.77195,0.57487,0.32826,0.62493,0.335,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,1144.36,0.37977,0.77824,0.27854,0.76574,0.71,0.7771,0.57791,0.32816,0.62035,0.33451,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,1502.78,0.37414,0.7764,0.27821,0.76241,0.71399,0.77975,0.5809,0.32706,0.61906,0.33148,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,1833.52,0.37433,0.76824,0.27807,0.77429,0.71015,0.78425,0.5841,0.32656,0.61414,0.33314,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,2168.02,0.37086,0.7649,0.27177,0.76609,0.71625,0.78525,0.5859,0.32401,0.61336,0.32671,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,2493.11,0.37241,0.75718,0.27149,0.7673,0.7225,0.78767,0.58661,0.32514,0.60874,0.33013,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,2802.41,0.36857,0.75791,0.27352,0.77133,0.72175,0.78927,0.59022,0.32335,0.6088,0.32696,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,3124.74,0.36299,0.75707,0.27327,0.77732,0.72342,0.79186,0.59207,0.32365,0.60377,0.33014,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,3448.64,0.36518,0.75128,0.27126,0.77713,0.73239,0.7967,0.59636,0.3213,0.60231,0.32843,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,3767.44,0.37235,0.74205,0.27213,0.77289,0.72959,0.79673,0.59685,0.32055,0.60098,0.32629,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
