epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,323.469,3.57713,7.25137,0.0601,0.00156,0.04857,0.00033,6e-05,3.07074,7.55926,0.07306,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269
2,657.806,2.242,4.47353,0.03617,0.35936,0.0652,0.04675,0.01804,1.94929,3.90723,0.04176,0.0195851,0.00652836,0.0195851,0.00652836,0.0195851,0.00652836,0.0195851,0.00652836
3,988.19,1.88113,3.52295,0.02787,0.29599,0.16137,0.10769,0.04318,1.91558,3.21676,0.04134,0.0287935,0.00959782,0.0287935,0.00959782,0.0287935,0.00959782,0.0287935,0.00959782
4,1316.33,1.76891,3.12964,0.02606,0.2832,0.25112,0.18433,0.08873,1.73787,2.75499,0.03629,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1618.83,1.65633,2.83868,0.02397,0.33536,0.31141,0.25131,0.13156,1.63639,2.41627,0.03357,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1948.68,1.59181,2.6403,0.02253,0.40572,0.3596,0.32864,0.186,1.53445,2.20352,0.03074,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2277.37,1.5447,2.49564,0.02147,0.42773,0.38341,0.36694,0.21098,1.49451,2.09408,0.02959,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2606.69,1.50275,2.39612,0.02091,0.47802,0.43473,0.43041,0.25271,1.44656,1.91422,0.02823,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2898.15,1.463,2.2984,0.02033,0.52335,0.44372,0.45089,0.27119,1.42944,1.8668,0.02784,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,3215.19,1.43103,2.24762,0.01966,0.53968,0.46526,0.47766,0.29217,1.39524,1.76455,0.02682,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
