epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,13284.8,0.36793,0.74845,0.27161,0.73339,0.70089,0.75747,0.55667,0.3316,0.64665,0.33772,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,13642.1,0.36788,0.74405,0.27385,0.73753,0.7065,0.76405,0.56395,0.3306,0.64167,0.33602,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,14013.6,0.36376,0.74166,0.26933,0.74485,0.70378,0.76744,0.56656,0.33187,0.63253,0.33822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,14398.9,0.36104,0.73771,0.26668,0.75222,0.70614,0.77395,0.57416,0.3258,0.62855,0.33462,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,14707.6,0.35879,0.72631,0.26987,0.7705,0.71128,0.7806,0.57959,0.32826,0.61783,0.33393,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,15018,0.35948,0.71985,0.26457,0.77445,0.71301,0.7859,0.58289,0.32546,0.61769,0.3332,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,15469.3,0.35654,0.7218,0.26728,0.76281,0.71594,0.7841,0.58556,0.32359,0.6158,0.32917,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,15789.4,0.35529,0.71237,0.2627,0.77011,0.72291,0.78988,0.59225,0.32277,0.61056,0.32852,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,16105.8,0.35456,0.70754,0.26287,0.76894,0.72865,0.79352,0.59345,0.32154,0.60943,0.32856,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,344.66,0.3502,0.69919,0.2587,0.78402,0.72588,0.79848,0.59674,0.32101,0.60274,0.32825,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,719.606,0.34726,0.70165,0.26169,0.77673,0.72782,0.80177,0.60046,0.31892,0.60121,0.32625,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,1096.97,0.35203,0.7032,0.25927,0.78235,0.73225,0.80162,0.6005,0.31859,0.59777,0.32521,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,1445.89,0.34869,0.70418,0.26074,0.78111,0.73407,0.80246,0.60221,0.31995,0.59118,0.32834,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,1758.52,0.34166,0.69189,0.25625,0.77789,0.73918,0.804,0.60548,0.31705,0.59085,0.32389,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,2073.59,0.34585,0.69227,0.2548,0.77903,0.73893,0.80539,0.60703,0.31805,0.58864,0.32573,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,2392.68,0.34545,0.68392,0.2543,0.79285,0.73833,0.80788,0.60916,0.31853,0.58746,0.32617,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,2690.9,0.34066,0.67861,0.25489,0.78551,0.74491,0.81098,0.6111,0.31783,0.58471,0.32742,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,2991.82,0.34859,0.68643,0.26117,0.79652,0.73689,0.81286,0.61325,0.31625,0.58409,0.32639,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,3297.56,0.33932,0.67869,0.25363,0.79654,0.7379,0.81371,0.61443,0.31589,0.58382,0.32451,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,3587.6,0.33586,0.6612,0.24875,0.79804,0.74018,0.81559,0.6172,0.31442,0.58347,0.32293,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,3875.75,0.33722,0.663,0.24961,0.79138,0.74493,0.81715,0.6189,0.31491,0.57792,0.32476,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,4163.56,0.33581,0.66944,0.25093,0.79802,0.73755,0.81594,0.61838,0.31443,0.57912,0.3232,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,4455.75,0.33553,0.67042,0.25097,0.79625,0.74044,0.81588,0.61866,0.31305,0.58001,0.32294,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,4757.1,0.33683,0.66876,0.25322,0.79024,0.74651,0.81826,0.62173,0.31283,0.5783,0.32255,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,5047.05,0.32793,0.64696,0.24578,0.79094,0.74958,0.81938,0.62298,0.31293,0.5765,0.32393,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,5335.83,0.3316,0.64971,0.24478,0.79942,0.74343,0.81935,0.62293,0.31356,0.57514,0.32491,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,5623.45,0.32261,0.6446,0.23832,0.80022,0.74464,0.81946,0.62372,0.3122,0.57498,0.32257,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
