epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,116.728,3.57877,7.24847,0.06013,0.00342,0.08901,0.00188,0.00049,2.9574,7.22528,0.06947,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269
2,222.418,2.24656,4.44558,0.03633,0.33282,0.08134,0.05417,0.0204,1.98098,3.8866,0.04321,0.0198818,0.00662726,0.0198818,0.00662726,0.0198818,0.00662726,0.0198818,0.00662726
3,324.37,1.85426,3.43506,0.02741,0.22795,0.17169,0.11406,0.04661,1.88478,3.31212,0.04036,0.0296839,0.00989463,0.0296839,0.00989463,0.0296839,0.00989463,0.0296839,0.00989463
4,425.163,1.72889,3.01981,0.02537,0.2695,0.24651,0.18623,0.0883,1.72949,2.72407,0.03565,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,525.157,1.61979,2.72237,0.02326,0.35923,0.31892,0.27458,0.14652,1.61072,2.44266,0.03267,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,628.653,1.55438,2.53694,0.02177,0.41493,0.36673,0.34808,0.19603,1.51946,2.19524,0.03022,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,725.772,1.50783,2.38711,0.02085,0.47769,0.39123,0.40262,0.23368,1.47498,2.0277,0.02906,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,828.574,1.46924,2.30553,0.02033,0.50034,0.43977,0.44304,0.26129,1.42936,1.89155,0.02769,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,931.479,1.43212,2.20981,0.01983,0.49454,0.45109,0.44826,0.2771,1.38041,1.83685,0.02639,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,1029.09,1.40059,2.13782,0.01918,0.54415,0.48551,0.49447,0.30872,1.37174,1.70617,0.02623,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,1132.23,1.39002,2.08855,0.01877,0.59646,0.48475,0.53036,0.3339,1.3449,1.61644,0.02567,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,1233.86,1.36564,2.01563,0.01832,0.60123,0.53065,0.55868,0.35539,1.31616,1.55053,0.02478,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,1333.97,1.34425,1.97458,0.01805,0.60888,0.5291,0.56882,0.36476,1.2959,1.51921,0.02453,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,1436.44,1.32894,1.93216,0.01784,0.63521,0.5483,0.59561,0.38615,1.2756,1.46908,0.02387,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,1535.05,1.31595,1.8986,0.01766,0.63266,0.56671,0.61033,0.39694,1.26354,1.44337,0.02356,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,1636.74,1.30326,1.85648,0.01741,0.65432,0.57065,0.62401,0.41803,1.23322,1.37574,0.0227,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,1738.85,1.28801,1.83402,0.01701,0.67096,0.57518,0.63663,0.42573,1.21996,1.3576,0.0223,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,1838.91,1.28498,1.81582,0.01688,0.6811,0.58016,0.64564,0.43423,1.19936,1.33702,0.022,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,1938.71,1.26638,1.7951,0.01659,0.68576,0.5875,0.65308,0.4436,1.18129,1.32402,0.02148,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,2035.98,1.26063,1.75729,0.01654,0.68443,0.60841,0.67048,0.4557,1.17745,1.27715,0.02131,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,2139.13,1.25595,1.72103,0.0165,0.68701,0.61914,0.67823,0.4654,1.17469,1.24016,0.02134,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,2239.41,1.24443,1.71237,0.01632,0.70317,0.62198,0.6893,0.4755,1.16247,1.21866,0.02097,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,2340.84,1.22938,1.68482,0.0161,0.70146,0.62433,0.69271,0.48046,1.14865,1.19714,0.02068,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,2442.23,1.22836,1.66974,0.016,0.72695,0.62811,0.7022,0.48921,1.13939,1.18262,0.02035,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,2540.1,1.22174,1.6536,0.01578,0.72138,0.64698,0.71601,0.5027,1.12043,1.1613,0.01987,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,2641.58,1.22345,1.6265,0.01587,0.73289,0.64637,0.71857,0.50492,1.11996,1.14107,0.0198,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,2741.22,1.20423,1.62065,0.01567,0.73655,0.65623,0.73164,0.51482,1.11477,1.12428,0.01986,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,2841.72,1.19708,1.61061,0.01549,0.73769,0.65058,0.7333,0.51831,1.10813,1.10721,0.01962,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
