epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,60598.7,0.77049,0.68811,0.2676,0.61492,0.49941,0.52859,0.37206,0.54963,0.65991,0.23156,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,62530.9,0.74547,0.69308,0.2602,0.61806,0.50318,0.53258,0.37525,0.54568,0.65735,0.23004,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,64466,0.77201,0.68399,0.26685,0.62055,0.50431,0.53683,0.37823,0.54328,0.65577,0.22889,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,66399.1,0.80006,0.67611,0.27588,0.6156,0.5078,0.53876,0.37865,0.54639,0.65136,0.22778,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,68334.9,0.75064,0.68981,0.2606,0.62085,0.50933,0.54127,0.37973,0.54732,0.64945,0.22627,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,70246.2,0.76492,0.68327,0.26356,0.62709,0.50768,0.54272,0.38061,0.54638,0.6472,0.22553,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,72120.4,0.78399,0.67727,0.26917,0.61838,0.51334,0.54588,0.38269,0.54499,0.64468,0.22462,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,73996.3,0.79342,0.67496,0.27337,0.62639,0.51356,0.5479,0.38484,0.54229,0.64225,0.22336,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,75872.9,0.77754,0.67549,0.26652,0.62686,0.51724,0.55108,0.3873,0.54074,0.6397,0.22293,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,77748.2,0.802,0.6665,0.27371,0.6285,0.51744,0.55219,0.38819,0.54018,0.63773,0.22239,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,79627.2,0.77664,0.67528,0.26658,0.63242,0.51777,0.554,0.38931,0.54207,0.63538,0.22311,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,81506.8,0.79408,0.66613,0.27042,0.6279,0.52272,0.5554,0.39202,0.53949,0.63467,0.22147,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,83383.4,0.77274,0.67326,0.26321,0.63301,0.52374,0.55795,0.39506,0.5356,0.63506,0.22013,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,85260.5,0.79151,0.66826,0.26985,0.63141,0.52684,0.55951,0.39615,0.53485,0.63411,0.21968,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,87138.7,0.77997,0.67078,0.26605,0.63797,0.52591,0.56091,0.39727,0.53461,0.63344,0.21894,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,89014.2,0.78648,0.66739,0.26779,0.63311,0.52931,0.56212,0.3986,0.53324,0.63278,0.21794,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,90894.6,0.76858,0.67303,0.26193,0.6283,0.53307,0.56362,0.40003,0.5325,0.63151,0.2174,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,92774.4,0.76029,0.67257,0.26095,0.63337,0.53241,0.56579,0.40172,0.53192,0.62928,0.21772,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,94650,0.77532,0.67034,0.26401,0.63416,0.53257,0.56711,0.40258,0.53064,0.62838,0.21673,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,96524.2,0.78463,0.66513,0.2672,0.63175,0.53703,0.5673,0.40287,0.53154,0.62701,0.21629,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,98396.1,0.77341,0.66519,0.26188,0.63361,0.53759,0.56933,0.40491,0.52774,0.6272,0.21567,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,100270,0.76452,0.66923,0.26002,0.63374,0.54272,0.57168,0.40641,0.52279,0.62704,0.21411,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,102143,0.76892,0.66649,0.26134,0.63755,0.54227,0.5735,0.40776,0.52148,0.62563,0.21402,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,104018,0.76903,0.66578,0.26074,0.64163,0.54072,0.57494,0.40846,0.51975,0.62442,0.21357,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,105892,0.7557,0.66818,0.25705,0.64383,0.54195,0.57625,0.4098,0.51781,0.62425,0.21233,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,107763,0.76632,0.66669,0.26135,0.64519,0.5445,0.57854,0.41217,0.52125,0.62343,0.21254,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,109636,0.79284,0.65621,0.266,0.65098,0.54219,0.57952,0.41226,0.52045,0.62099,0.21094,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,111508,0.77513,0.66209,0.26143,0.65083,0.54453,0.58053,0.41309,0.51906,0.62023,0.21069,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,113381,0.78926,0.65921,0.26571,0.64735,0.54542,0.58009,0.41345,0.51764,0.62003,0.2107,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,115253,0.75333,0.66993,0.25661,0.65147,0.54509,0.58089,0.41486,0.51474,0.62072,0.20998,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,117127,0.77365,0.66194,0.26149,0.65256,0.5475,0.58161,0.41474,0.51402,0.62013,0.20988,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,119000,0.77976,0.66002,0.26215,0.64679,0.55075,0.58127,0.41484,0.51343,0.6189,0.20904,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,120872,0.75714,0.66636,0.25727,0.64957,0.54881,0.58268,0.4158,0.51195,0.61673,0.20839,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,122744,0.79725,0.65136,0.26937,0.65363,0.54687,0.58325,0.41586,0.51142,0.61543,0.20837,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,124615,0.77354,0.66087,0.26051,0.65106,0.55056,0.58337,0.41658,0.51068,0.61608,0.2075,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,126493,0.76766,0.65827,0.25957,0.64987,0.55186,0.58517,0.41826,0.50872,0.61507,0.20704,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,128366,0.76433,0.66132,0.25767,0.64839,0.55476,0.58604,0.41888,0.50804,0.61409,0.20648,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,130242,0.75091,0.66506,0.25581,0.65388,0.55206,0.58654,0.41892,0.50818,0.61307,0.20608,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,132116,0.76856,0.65941,0.25943,0.65479,0.55279,0.58723,0.41946,0.50795,0.61217,0.20641,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,133989,0.81109,0.644,0.27088,0.65024,0.55541,0.58845,0.42008,0.50828,0.61173,0.2064,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,135862,0.76534,0.65842,0.25728,0.64957,0.55551,0.58911,0.42064,0.50692,0.61153,0.20652,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,137734,0.74295,0.66358,0.25183,0.65475,0.55456,0.5907,0.42255,0.5046,0.61224,0.20544,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,139606,0.75794,0.6605,0.25546,0.65579,0.55598,0.59195,0.42345,0.5046,0.61113,0.20566,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,141476,0.75357,0.66112,0.25507,0.65984,0.55755,0.59374,0.42591,0.503,0.61072,0.20441,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,143347,0.75045,0.65896,0.25281,0.66231,0.55557,0.59359,0.42446,0.50583,0.60979,0.20453,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,145219,0.74899,0.66057,0.25219,0.66246,0.55682,0.59518,0.42407,0.50602,0.61008,0.20416,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,147095,0.74648,0.65992,0.25224,0.65741,0.56183,0.59602,0.42603,0.50328,0.60978,0.2044,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,148974,0.77942,0.64925,0.26019,0.65947,0.56289,0.59685,0.42771,0.50221,0.6099,0.20345,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,1917,0.74087,0.64957,0.24735,0.66586,0.56027,0.59882,0.42796,0.50373,0.6072,0.20384,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,3839.18,0.75605,0.65378,0.25361,0.66395,0.56208,0.60068,0.42923,0.50383,0.60662,0.20314,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,5760.95,0.77269,0.64898,0.25821,0.66303,0.56191,0.60149,0.43084,0.49895,0.60638,0.20253,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,7682,0.74994,0.65866,0.25114,0.66842,0.56171,0.60267,0.43196,0.49708,0.60573,0.2017,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,9600.33,0.75128,0.65853,0.25224,0.66389,0.56694,0.60228,0.4319,0.49759,0.60582,0.20126,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,11513.5,0.74723,0.66,0.25104,0.66734,0.56434,0.60238,0.43081,0.49919,0.60607,0.20109,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,13427.4,0.76035,0.65621,0.2564,0.6595,0.56837,0.60131,0.42826,0.50084,0.60666,0.20191,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,15339.5,0.74465,0.65906,0.25138,0.66426,0.56609,0.60259,0.42885,0.49996,0.6063,0.20229,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,17251.2,0.77823,0.6485,0.25885,0.66154,0.56851,0.60288,0.43157,0.49854,0.60487,0.2027,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,19163.4,0.74846,0.65538,0.25293,0.65731,0.56991,0.60267,0.43214,0.49739,0.60612,0.20236,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,21076.2,0.74193,0.65638,0.24942,0.6558,0.57149,0.60297,0.43315,0.49698,0.60598,0.20236,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,22990.8,0.73143,0.66001,0.24625,0.65999,0.57029,0.60457,0.43272,0.49835,0.60475,0.20373,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,24905,0.76205,0.65249,0.25532,0.66536,0.56726,0.60439,0.4325,0.49751,0.60485,0.20284,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,26817.9,0.74292,0.65556,0.24875,0.66495,0.5683,0.60488,0.43389,0.49559,0.60486,0.2027,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,28731.6,0.73229,0.65825,0.24607,0.67127,0.56529,0.60575,0.43527,0.49409,0.6049,0.20175,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,30645,0.7642,0.65141,0.25588,0.67334,0.56574,0.60587,0.43435,0.49684,0.60279,0.20207,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,32559.8,0.73149,0.65438,0.24573,0.67042,0.56807,0.60603,0.43559,0.49695,0.60148,0.20248,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,34474.2,0.76626,0.6449,0.25789,0.66848,0.56933,0.60613,0.43484,0.49973,0.59985,0.20342,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,36388.3,0.74171,0.65249,0.24699,0.67353,0.56866,0.60779,0.43507,0.49804,0.60094,0.20257,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,38302.2,0.75961,0.65012,0.25402,0.67022,0.57018,0.60738,0.4335,0.49891,0.60193,0.20198,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,40216.2,0.74019,0.65074,0.24779,0.6772,0.56683,0.6087,0.43678,0.49534,0.60131,0.20117,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,42130.6,0.76208,0.64704,0.25456,0.67202,0.57296,0.60923,0.43775,0.4941,0.60132,0.20088,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,44044.3,0.73538,0.65318,0.24875,0.68081,0.5678,0.61156,0.43973,0.49285,0.60003,0.20162,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,45959.9,0.73476,0.65335,0.24711,0.67674,0.57089,0.61167,0.43928,0.49251,0.59991,0.20156,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,47874,0.74287,0.65026,0.24985,0.68085,0.56947,0.61313,0.43842,0.49341,0.59985,0.20175,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,49789.4,0.74069,0.65231,0.24961,0.67784,0.57227,0.61306,0.43697,0.49304,0.60024,0.20032,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,51704,0.71787,0.65506,0.24116,0.68596,0.56947,0.61436,0.43867,0.49132,0.60024,0.1999,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,53616.3,0.73986,0.64958,0.24752,0.68564,0.57226,0.61545,0.44038,0.48961,0.59969,0.19982,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,55531,0.73018,0.65163,0.24573,0.68086,0.5744,0.6174,0.44278,0.48714,0.6003,0.19872,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,57449,0.73586,0.64971,0.24565,0.68689,0.57271,0.61771,0.44284,0.48943,0.59878,0.19911,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,59369,0.71981,0.6556,0.24313,0.68693,0.57056,0.61868,0.44151,0.49144,0.59856,0.19965,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,61289.3,0.75794,0.64643,0.25175,0.68479,0.57223,0.61873,0.44216,0.49192,0.59846,0.1999,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,63210.4,0.72304,0.6528,0.24798,0.68089,0.57707,0.61879,0.4435,0.48895,0.59748,0.19961,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,65130.1,0.73313,0.64678,0.24521,0.68619,0.57459,0.61925,0.44424,0.48857,0.59734,0.19934,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,67049.6,0.72563,0.65202,0.24463,0.6884,0.57578,0.61993,0.4457,0.4875,0.5972,0.19949,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,68969.5,0.73092,0.6508,0.24619,0.68948,0.57422,0.61977,0.44674,0.48505,0.59726,0.19885,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,70889.4,0.81455,0.62911,0.267,0.68427,0.57734,0.61858,0.44557,0.48661,0.59603,0.198,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,72808.6,0.81295,0.63212,0.26788,0.68095,0.57642,0.61757,0.44399,0.48993,0.59493,0.19921,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,74728,0.70901,0.65742,0.23936,0.68273,0.57655,0.61825,0.44328,0.48942,0.59488,0.19939,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,76647.8,0.73045,0.65043,0.24512,0.67858,0.57854,0.61832,0.4428,0.48857,0.59539,0.19922,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,78565.8,0.71446,0.65404,0.24165,0.68199,0.57868,0.61906,0.44261,0.48787,0.59714,0.19844,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,80483.7,0.73225,0.6464,0.24655,0.6853,0.57406,0.61981,0.44186,0.48894,0.5983,0.19856,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,82403.4,0.72473,0.65,0.24492,0.68056,0.58225,0.62073,0.4434,0.4859,0.59876,0.1971,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,84318.4,0.69728,0.65766,0.23528,0.68195,0.58353,0.62189,0.4474,0.47991,0.59815,0.19629,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,86670.8,0.74249,0.6472,0.24996,0.68053,0.58244,0.62219,0.44839,0.47906,0.60001,0.19679,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,88582.4,0.7011,0.65891,0.23848,0.6812,0.58226,0.62311,0.45065,0.47659,0.60065,0.19623,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,90496.8,0.73504,0.64926,0.2473,0.67933,0.58568,0.62393,0.45212,0.47356,0.60185,0.19525,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,92411.3,0.6939,0.65846,0.23655,0.67898,0.58897,0.62524,0.45359,0.47129,0.60161,0.19516,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,94321.6,0.70735,0.65413,0.23992,0.68128,0.58673,0.62594,0.45272,0.47288,0.60137,0.19499,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,96231.6,0.71617,0.65153,0.24233,0.68764,0.58289,0.62587,0.44761,0.47911,0.59977,0.19606,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,98143.2,0.72092,0.65089,0.24446,0.68607,0.58374,0.62665,0.44964,0.47637,0.60041,0.19542,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,100055,0.71281,0.65169,0.24106,0.68588,0.58485,0.62755,0.45374,0.47131,0.60155,0.194,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,101969,0.72887,0.64384,0.24736,0.68805,0.58367,0.62946,0.45483,0.46922,0.60177,0.19354,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,103880,0.73143,0.64473,0.24635,0.68096,0.58865,0.62864,0.45364,0.47061,0.60213,0.19329,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
134,105793,0.71812,0.64717,0.24352,0.68389,0.58394,0.62614,0.43958,0.49119,0.5969,0.19675,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611
135,107706,0.69162,0.65136,0.23687,0.68648,0.58256,0.6256,0.43449,0.49973,0.5943,0.19837,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
136,109621,0.72795,0.64523,0.24757,0.68797,0.57618,0.62252,0.42648,0.52216,0.59287,0.20338,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
137,111552,0.72319,0.64199,0.24397,0.69046,0.57411,0.61958,0.41961,0.54792,0.59108,0.20772,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
138,113681,0.71833,0.6464,0.2422,0.69026,0.57547,0.62043,0.4156,0.54472,0.59084,0.20765,0.016437,0.005479,0.016437,0.005479,0.016437,0.005479,0.016437,0.005479
139,116104,0.69396,0.64893,0.23707,0.68794,0.57185,0.61831,0.40599,0.55548,0.59255,0.21071,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
140,118574,0.72058,0.64779,0.24312,0.69004,0.5723,0.61918,0.40486,0.55641,0.59372,0.21126,0.016239,0.005413,0.016239,0.005413,0.016239,0.005413,0.016239,0.005413
141,121002,0.70433,0.64897,0.2399,0.6869,0.57545,0.62031,0.41047,0.54928,0.59307,0.20926,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
142,123413,0.70167,0.64894,0.23795,0.69234,0.57536,0.62231,0.41415,0.54667,0.5905,0.20745,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
