epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,681.106,2.81175,5.27857,0.02578,0.30093,0.06987,0.04948,0.02551,2.04617,3.78942,0.02131,0.0099973,0.00333243,0.0099973,0.00333243,0.0099973,0.00333243,0.0099973,0.00333243
2,1319.03,1.89497,3.14346,0.01374,0.33551,0.22469,0.1892,0.11496,1.75001,2.58615,0.01671,0.0199643,0.00665477,0.0199643,0.00665477,0.0199643,0.00665477,0.0199643,0.00665477
3,1916.75,1.77861,2.70284,0.0123,0.37289,0.2805,0.25626,0.16189,1.64026,2.31368,0.01507,0.0298983,0.0099661,0.0298983,0.0099661,0.0298983,0.0099661,0.0298983,0.0099661
4,2511.73,1.70386,2.50961,0.01147,0.44842,0.33151,0.32445,0.21332,1.54179,2.08259,0.01366,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505
5,3107.57,1.62851,2.32341,0.01063,0.49767,0.36141,0.36869,0.24845,1.48765,1.94164,0.0129,0.029802,0.009934,0.029802,0.009934,0.029802,0.009934,0.029802,0.009934
6,3703.06,1.58711,2.22307,0.01017,0.52871,0.37814,0.3956,0.26899,1.45091,1.86573,0.01234,0.0297525,0.0099175,0.0297525,0.0099175,0.0297525,0.0099175,0.0297525,0.0099175
7,4298.02,1.55654,2.1513,0.00985,0.5326,0.39508,0.41329,0.2839,1.42757,1.81632,0.01198,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
8,4894.07,1.53743,2.10071,0.00963,0.5399,0.40812,0.42521,0.29325,1.41107,1.7871,0.01176,0.0296535,0.0098845,0.0296535,0.0098845,0.0296535,0.0098845,0.0296535,0.0098845
9,5489.56,1.52427,2.06044,0.00948,0.55853,0.40977,0.43333,0.2995,1.40101,1.76611,0.01163,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
10,6084.72,1.50562,2.03039,0.00937,0.5599,0.41279,0.43841,0.30447,1.39452,1.74885,0.01156,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
11,6681.59,1.49872,2.00593,0.00926,0.56586,0.41716,0.44301,0.3083,1.38805,1.73423,0.01145,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
12,7277.44,1.49171,1.98636,0.00919,0.5776,0.41625,0.44809,0.31206,1.3822,1.72206,0.01137,0.0294555,0.0098185,0.0294555,0.0098185,0.0294555,0.0098185,0.0294555,0.0098185
13,7874.57,1.48728,1.96838,0.00912,0.57949,0.42121,0.45172,0.31473,1.37655,1.71192,0.01128,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
14,8471.2,1.48005,1.95149,0.00904,0.57659,0.42661,0.45651,0.31893,1.36935,1.70245,0.0112,0.0293565,0.0097855,0.0293565,0.0097855,0.0293565,0.0097855,0.0293565,0.0097855
15,9067.14,1.47578,1.94056,0.009,0.57887,0.42996,0.4599,0.32224,1.36367,1.69344,0.01113,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
16,9663.57,1.47088,1.93025,0.00897,0.59387,0.4268,0.46354,0.32584,1.3589,1.68353,0.01106,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
17,10259.3,1.46564,1.91819,0.00889,0.59052,0.42917,0.46644,0.32832,1.35366,1.67676,0.01099,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
18,10855.8,1.46298,1.90797,0.00889,0.59038,0.4354,0.47035,0.33143,1.34916,1.66897,0.01094,0.0291585,0.0097195,0.0291585,0.0097195,0.0291585,0.0097195,0.0291585,0.0097195
19,11452.5,1.46204,1.90058,0.00887,0.59492,0.43679,0.47358,0.33411,1.3447,1.66244,0.01087,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
20,12048.5,1.46074,1.89416,0.00883,0.59615,0.44102,0.47693,0.33699,1.34179,1.65346,0.01085,0.0290595,0.0096865,0.0290595,0.0096865,0.0290595,0.0096865,0.0290595,0.0096865
21,12646,1.45603,1.88763,0.00878,0.5981,0.44454,0.4804,0.33955,1.3379,1.64565,0.01079,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
22,13242,1.45408,1.87865,0.00876,0.60065,0.44727,0.48363,0.34241,1.33498,1.63632,0.01074,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
23,13838.6,1.45542,1.87385,0.00876,0.60394,0.44677,0.4868,0.3452,1.33129,1.62707,0.01068,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
24,14434,1.44865,1.86936,0.00873,0.60325,0.45262,0.49064,0.34847,1.32822,1.61607,0.01064,0.0288615,0.0096205,0.0288615,0.0096205,0.0288615,0.0096205,0.0288615,0.0096205
25,15029.5,1.44874,1.86299,0.00872,0.60922,0.45485,0.49497,0.35189,1.32419,1.60717,0.01059,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
26,15625.4,1.4492,1.86284,0.00872,0.6139,0.45709,0.498,0.35429,1.32051,1.5985,0.01055,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875
27,16221,1.44439,1.85278,0.00868,0.61279,0.46127,0.50043,0.35653,1.31888,1.58901,0.01052,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
