epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,717.2,2.88526,5.42073,0.02682,0.3573,0.05938,0.03822,0.01929,2.08977,3.8928,0.02187,0.0099973,0.00333243,0.0099973,0.00333243,0.0099973,0.00333243,0.0099973,0.00333243
2,1396.5,2.01211,3.47907,0.01505,0.31155,0.19675,0.16014,0.09622,1.7805,2.71141,0.01708,0.0198983,0.00663277,0.0198983,0.00663277,0.0198983,0.00663277,0.0198983,0.00663277
3,2032.7,1.91659,3.07525,0.01381,0.38273,0.25168,0.22186,0.13821,1.68126,2.4376,0.01564,0.0297003,0.00990011,0.0297003,0.00990011,0.0297003,0.00990011,0.0297003,0.00990011
4,2667.6,1.84986,2.88577,0.01304,0.43429,0.30353,0.2934,0.19033,1.58482,2.17423,0.01422,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,3302.6,1.77932,2.70646,0.01222,0.46902,0.33802,0.3382,0.22511,1.5244,2.03824,0.01331,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,3937.3,1.7381,2.60438,0.01172,0.49793,0.35568,0.36474,0.24643,1.48844,1.96029,0.01279,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,4572.3,1.70959,2.53793,0.01143,0.50544,0.37326,0.38446,0.2619,1.46405,1.90351,0.01243,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,5207.7,1.69189,2.48549,0.0112,0.51205,0.38303,0.39631,0.27207,1.44933,1.86958,0.01222,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,5846.0,1.67875,2.4443,0.01105,0.52265,0.38768,0.40308,0.27789,1.43791,1.84949,0.01205,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,6479.8,1.66072,2.41445,0.01094,0.54021,0.3901,0.40773,0.28158,1.42902,1.83546,0.01193,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,7113.8,1.65296,2.38811,0.01083,0.55051,0.38987,0.4121,0.28485,1.42101,1.82282,0.01181,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,7750.6,1.645,2.36187,0.01074,0.54569,0.39696,0.4174,0.28894,1.41381,1.81169,0.01171,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,8386.3,1.639,2.3483,0.01066,0.54812,0.4041,0.42296,0.29276,1.40722,1.80128,0.01164,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,9023.8,1.63262,2.32959,0.01058,0.55182,0.40906,0.42811,0.29671,1.40195,1.78865,0.01157,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,9661.1,1.62779,2.32023,0.01054,0.5512,0.4121,0.43239,0.30051,1.39688,1.77584,0.01151,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
